Country,State/area,Latitude,Longitude,Year,Status,References
Sweden,,56.0533,12.8033,2015,,Manduric 2017
Sweden,,55.6069,14.2536,2015,,Manduric 2017
Sweden,,55.678,13.7317,2015,,Manduric 2017
Sweden,,55.5103,14.1625,2015,,Manduric 2017
Sweden,,56.164,14.4686,2015,,Manduric 2017
Sweden,,56.1594,14.3534,2015,,Manduric 2017
Sweden,,56.1266,14.4127,2016,,Manduric 2017
Sweden,,56.2282,14.3423,2016,,Manduric 2017
Sweden,,56.91,12.4913,2016,,Manduric 2017
Sweden,,56.683,16.3012,2016,,Manduric 2017
Sweden,,58.3737,14.6845,2016,,Manduric 2017
Tahiti,,-17.646,-149.4435,2017,Few occurences,IPCC 2017
Taiwan,,24,121,,Present,Okada 1976
Thailand,,15,100,,Present,Hauser 2011
Turkey,,39.9076,41.2718,2015,Few occurences,Orhan et al. 2016
United Kingdom,,51.2906,0.4339,2012,,Fountain et al. 2017; Harris & Shaw 2014
United Kingdom,,51.2623,-0.4673,2012,,Fountain et al. 2017; Harris & Shaw 2014
United Kingdom,,52.0833,-2.75,2012,,Fountain et al. 2017; Harris & Shaw 2014
United Kingdom,,52.8052,-2.1164,2012,,Fountain et al. 2017; Harris & Shaw 2014
United Kingdom,,52.45,0.5,2012,,Fountain et al. 2017; Harris & Shaw 2014
United Kingdom,,52.6833,0.9333,2012,,Fountain et al. 2017; Harris & Shaw 2014
Scotland,,57.1437,-2.0981,2014,,Fountain et al. 2017
United Kingdom,,51.17,0.27,2012,Few occurences,Clemons 2013
Ukraine,,44.5011,34.1593,2014,Few occurences,Lavrinienko et al. 2017
USA,Alabama,32.7504,-86.7503,2011, Present,Burrack et al. 2012
USA,Arkansas,34.7504,-92.5004,2012, Present,Burrack et al. 2012
USA,California,36.9677,-122.0294,2008, Present,Bolda et al. 2010
USA,California,37.3226,-121.8921,2008, Present,Bolda et al. 2010
USA,California,37.6008,-120.9545,2008, Present,Bolda et al. 2010
USA,California,35.3453,-119.0586,2008, Present,Bolda et al. 2010
USA,California,38.7318,-121.9014,2008, Present,Bolda et al. 2010
USA,California,38.5249,-121.9708,2008, Present,Harris et al. 2014
USA,California,37.2502,-119.751,2008, Widespread,Burrack et al. 2012
USA,Colorado,39.0003,-105.501,2012, Present,Burrack et al. 2012
USA,Connecticut,41.667,-72.6665,2011, Present,Maier 2012
USA,Delaware,39.0004,-75.4999,2011, Present,Burrack et al. 2012
USA,Florida,27.9695,-82.3583,2009, Widespread,Bolda et al. 2010
USA,Florida,28.7505,-82.5001,2009, Widespread,Iglesias et al. 2009
USA,Hawaii,20.7503,-156.5,1980, Widespread,Kaneshiro 1983
USA,Idaho,44.5002,-114.251,2012, Present,Burrack et al. 2012
USA,Illinois,40.0003,-89.2504,2012, Present,Burrack et al. 2012
USA,Indiana,40.0003,-86.2503,2012, Present,Burrack et al. 2012
USA,Iowa,42.0003,-93.5005,2012, Present,Burrack et al. 2012
USA,Kentucky,38.2004,-84.8776,2012, Present,Burrack et al. 2012
USA,Louisiana,31.0005,-92.0004,2011, Present,Burrack et al. 2012
USA,Maine,45.5003,-69.2498,2011, Present,Burrack et al. 2012
USA,Maryland,39.0004,-76.75,2011, Present,Burrack et al. 2012
USA,Massachusetts,42.3656,-71.1083,2011, Present,Burrack et al. 2012
USA,Michigan,44.2503,-85.5003,2010, Widespread,Van Timmeren & Isaacs 2014
USA,Minnesota,46.2502,-94.2506,2012, Present,Burrack et al. 2012
USA,Mississippi,32.7504,-89.7504,2010, Present,Burrack et al. 2012
USA,Missouri,38.2503,-92.5005,2013, Present,Burrack et al. 2012
USA,Montana,47.0002,-109.751,2011, Present,Burrack et al. 2012
USA,New Hampshire,43.667,-71.4998,2011, Present,Burrack et al. 2012
USA,New Jersey,40.1671,-74.4999,2011, Present,Burrack et al. 2012
USA,New York,43.0003,-75.4999,2011, Present,Burrack et al. 2012
USA,North Carolina,35.5007,-80.0003,2010, Present,Burrack et al. 2012
USA,North Dakota,47.5003,-100.001,2013, Present,Burrack et al. 2012
USA,Ohio,40.2503,-83.0002,2011, Present,Burrack et al. 2012
USA,Oregon,48.6147,-122.7497,2009, Widespread,Stacconi et al. 2013
USA,Oregon,44.9053,-123.1178,2009, Widespread,Stacconi et al. 2013
USA,Oregon,44.2161,-123.6983,2009, Widespread,Stacconi et al. 2013
USA,Oregon,44.6283,-123.2625,2009, Widespread,Stacconi et al. 2013
USA,Oregon,45.6868,-121.5481,2009, Widespread,Shearer et al. 2015
USA,Oregon,44.0001,-120.501,2009, Widespread,Burrack et al. 2012
USA,Pennsylvania,40.2725,-76.9057,2011, Present,Freda & Braverman 2013
USA,Rhode Island,41.7504,-71.4998,2011, Present,Burrack et al. 2012
USA,South Carolina,34.0004,-81.0001,2010, Present,Burrack et al. 2012
USA,Tennessee,35.7503,-86.2503,2011, Present,Burrack et al. 2012
USA,Texas,31.2504,-99.2506,2012, Present,Burrack et al. 2012
USA,Utah,39.2502,-111.751,2010, Present,Burrack et al. 2012
USA,Vermont,44.0003,-72.7498,2011, Present,Burrack et al. 2012
USA,Virginia,37.5481,-77.4467,2011, Present,Burrack et al. 2012
USA,Washington,47.5001,-120.501,2009, Widespread,Burrack et al. 2012
USA,West Virginia,38.5004,-80.5001,2011, Present,Burrack et al. 2012
USA,Wisconsin,44.5002,-90.0004,2010, Present,Burrack et al. 2012
USA,,43.01,-89.54,2010,,Fraimout et al. 2017
USA,,34.21,-77.54,2010,,Diepenbrock et al. 2015
USA,,33.57,-83.21,2010,,Jaramillo et al. 2015
USA,,42.36,-86.06,2010,,Kirkpatrick et al. 2016
USA,,42.52,-76.59,2010,,Wallingford et al. 2016
USA,,39.23,-77.53,2010,,Rice et al. 2017
USA,,30.47,-89.09,2010,,Sampson et al. 2016
USA,,35.47,-78.38,2010,,Fraimout et al. 2017
USA,,42.33,-76.4,2010,,Wallingford et al. 2016
USA,,33.13,-87.34,2010,,Bombin & Reed 2016
USA,,30.51,-89.08,2010,,Sampson et al. 2016
Uruguay,,-34.8825,-56.1182,2014, Present,González et al. 2015
Uruguay,,-34.6713,-55.5994,2014, Present,González et al. 2015
